rank,college_code,college_name,district,composite_score,selectivity_score,academic_quality_score,branch_strength_score,institutional_quality_score,web_reputation_score,trend_score
205,3810,"MAM College of Engineering, Siruganur, Tiruchirappalli District 621105",,48.1402,49.6505,49.0052,50.6039,29.7791,52.5984,50.0
206,2347,"AVS College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem District 636106",,48.0774,48.7009,48.5169,49.5039,45.4419,49.8673,37.0833
207,3844,"Shivani Engineering College, Trichy-Dindigul NH Road, Poolangulathupatti, Tiruchirappalli - 620009",Tiruchirappalli,48.0521,48.9706,48.007,50.1102,38.7093,50.0,50.0
208,3845,"Imayam College of Engineering, Kannanur, Thuraiyur, Tiruchirappalli District 621206",,48.0419,50.4654,49.5315,50.6373,24.5814,50.0,50.0
209,5942,"Ultra College of Engineering and Technology, Kodikulam, 1 Bit Village, Madurai- Chennai Highway, Madurai District 625104",,47.9603,49.7238,49.1327,50.6552,28.5233,50.0,50.0
210,1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",,47.9503,49.8458,53.6351,43.3346,20.814,50.0,46.6667
211,3456,"K S K College of Engineering and Technology, Thanjavur Main Road, Darasuram, Kumbakonam, Thanjavur District 612702",,47.9309,48.8143,48.2278,49.9402,38.7093,47.9431,50.0
212,5502,"Sri Raajaraajan College of Engineering & Technology, Amaravathi Village, Amaravathi Pudur Post, Karaikudi, Sivagangai District 630301",,47.9184,48.073,47.7823,48.7727,43.6628,50.3877,50.0
213,3466,"Nelliandavar Institute of Technology, Nerunjikorai Village, Pudhupalayam, Ariyalur Taluk, Ariyalur District 621704",,47.9073,50.6259,50.1533,51.0713,18.8256,50.0,50.0
214,1505,"C Abdul Hakeem College of Engineering and Technology, Melvisharam, Ranipet District 632509",,47.9031,48.8344,50.2036,48.8841,37.7965,50.0,33.75
215,2741,"P A College of Engineering and Technology (Autonomous), Palladam Road, Pollachi, Coimbatore District 642002",,47.8886,46.1597,46.2959,47.3781,78.2558,50.0,14.5833
216,4677,ARUNACHALA HITECH ENGINEERING＜½ COLLEGE,,47.8504,48.0951,46.3764,50.1807,47.0465,50.0,50.0
217,1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048",Chengalpattu,47.8317,47.3108,47.451,47.8868,60.4419,50.0,27.0833
